Dense	class_name	mean_recallAtFDR50	GlobalAveragePooling2D	PReLU	mean_balanced_accuracy	Convolution2D	BatchNormalization	Dropout	nb_filter	MaxPooling2D	nb_row	Activation	UpSampling2D	activation	GlobalMaxPooling2D	strides	AveragePooling2D	Model	mean_auROC	mean_auPRC	m	nb_col	pool_size	p	Sequential	l2	Flatten	input_dim	l1	output_dim
2	['Dense', 'PReLU', 'Dropout', 'Dense']	3.11E-04	None	1	0.60	None	None	1	None	None	None	None	None	['linear', 'linear']	None	None	None	record_12_model_e4TF0_modelYaml.yaml	0.66	0.07	[7]	None	None	[0.3]	None	[0.0, 0.0]	None	[1920, 500]	[9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
2	['Dense', 'PReLU', 'Dropout', 'Dense']	2.72E-04	None	1	0.61	None	None	1	None	None	None	None	None	['linear', 'linear']	None	None	None	record_11_model_26WYb_modelYaml.yaml	0.65	0.07	[7]	None	None	[0.3]	None	[0.0, 0.0]	None	[1920, 500]	[9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
5	['Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	5.36E-05	None	4	0.50	None	None	4	None	None	None	None	None	['linear', 'linear', 'linear', 'linear', 'linear']	None	None	None	record_16_model_FqaDy_modelYaml.yaml	0.46	0.03	[7]	None	None	[0.5, 0.3, 0.3, 0.3]	None	[0.009999999776482582, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0]	None	[15360, 2000, 1500, 1000, 500]	[0.009999999776482582, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.009999999776482582]	[2000, 1500, 1000, 500, 61]	
2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	8.56E-06	None	3	0.63	2	None	1	[1000, 200]	2	[4, 1]	None	None	['linear', 'linear', 'linear', 'linear']	None	[(1, 4), (1, 5)]	None	record_4_model_luYUC_modelYaml.yaml	0.70	0.08	[7, 7, 7]	[30, 10]	[(1, 4), (1, 5)]	[0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[19200, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	1.24E-04	None	2	0.50	3	3	2	[300, 200, 200]	1	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	record_1_model_kwT4A_modelYaml.yaml	0.71	0.09	None	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.01, 0.3]	None	None	1	[7800, 1000, 1000]	None	[1000, 1000, 1]	
3	['Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	5.57E-05	None	2	0.50	None	None	2	None	None	None	None	None	['linear', 'linear', 'linear']	None	None	None	record_15_model_Llog8_modelYaml.yaml	0.45	0.03	[7]	None	None	[0.5, 0.3]	None	[0.009999999776482582, 0.0010000000474974513, 0.0]	None	[15360, 1000, 500]	[0.009999999776482582, 0.0010000000474974513, 9.999999747378752e-05]	[1000, 500, 61]	
1	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'MaxPooling2D', 'Flatten', 'Dense']	6.45E-05	None	2	0.62	2	None	None	[1000, 200]	2	[4, 1]	None	None	['linear', 'linear', 'linear']	None	[(1, 4), (1, 5)]	None	record_5_model_n0Z2k_modelYaml.yaml	0.70	0.08	[7, 7]	[30, 10]	[(1, 4), (1, 5)]	None	None	[0.0, 0.0, 0.0]	1	[19200]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05]	[61]	
3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	0.00E+00	None	2	0.50	3	3	2	[300, 200, 200]	1	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	record_4_model_3FyRq_modelYaml.yaml	0.50	0.52	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[1000, 1000, 61]	
3	['Convolution2D', 'BatchNormalization', 'Activation', 'Convolution2D', 'BatchNormalization', 'Activation', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	7.65E-05	None	2	0.53	3	3	2	[30, 30, 30]	None	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 4)]	1	record_2_model_RPv4E_modelYaml.yaml	0.64	0.05	None	[19, 11, 11]	[(1, 4)]	[0.01, 0.3]	None	None	1	[14700, 1000, 1000]	None	[1000, 1000, 1]	
2	['Dense', 'PReLU', 'Dropout', 'Dense']	2.10E-04	None	1	0.61	None	None	1	None	None	None	None	None	['linear', 'linear']	None	None	None	record_10_model_kgWFL_modelYaml.yaml	0.66	0.07	[7]	None	None	[0.3]	None	[0.0, 0.0]	None	[1920, 500]	[9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
